tissue,cell_type,gene,n_cells,n_donors,age_range,frac_detected,slope_per_year,se,p,q
Large_Intestine,large intestine goblet cell,IL4R,1557,4,5.0,0.4155427103403982,-0.003972835502930776,0.006262011032220991,0.5257973353003756,0.6499439283574088
Large_Intestine,large intestine goblet cell,CXCL8,1557,4,5.0,0.06936416184971098,0.0006157887945031401,0.005591175722272841,0.9123016505394239,0.9552334929177498
Large_Intestine,mast cell,IL13,393,4,23.0,0.21119592875318066,0.02319808401678148,0.011488003837869704,0.04345281218369302,0.08972374988093806
Large_Intestine,mast cell,STAT6,393,4,23.0,0.19338422391857507,0.0034701388696913474,0.0017372171995724331,0.045767926400024965,0.09051878776893826
Large_Intestine,mast cell,IL1RL1,393,4,23.0,0.9083969465648855,0.013873277555005665,0.003794358836150775,0.00025589151774199696,0.0008759363491937588
Large_Intestine,mast cell,IL18,393,4,23.0,0.3104325699745547,-0.019961332930686526,0.004165984571669971,1.6553548375037714e-06,7.0155514541826505e-06
Large_Intestine,mast cell,TNF,393,4,23.0,0.0737913486005089,0.004710526754547775,0.0005487163759857224,9.112969123206332e-18,7.373220472412397e-17
Large_Intestine,mast cell,IL4R,393,4,23.0,0.7633587786259542,0.015536784678496904,0.007096315776805438,0.02856664463219011,0.06519054800679282
Large_Intestine,mast cell,IL5RA,393,4,23.0,0.16539440203562342,-0.0062230190867005805,0.0005936818045981192,1.0442350346554118e-25,1.0326324231592406e-24
Large_Intestine,mast cell,IL2RA,393,4,23.0,0.09923664122137404,0.00809312208929844,0.00231045718026959,0.00046035560530391384,0.001463273174001726
Large_Intestine,myeloid leukocyte,STAT6,354,5,24.0,0.3785310734463277,-0.007217019790237483,0.0004533396340688942,4.627719577339899e-57,1.0296676059581275e-55
Large_Intestine,myeloid leukocyte,IL18,354,5,24.0,0.5169491525423728,0.011893128801356305,0.002357751997544704,4.552650275710372e-07,2.1325572344117006e-06
Large_Intestine,myeloid leukocyte,IL6,354,5,24.0,0.15819209039548024,0.004779541004804798,0.0009345326948562085,3.1479866903001056e-07,1.5565045302039411e-06
Large_Intestine,myeloid leukocyte,TNF,354,5,24.0,0.2768361581920904,-0.0036006620884885257,0.0021323131181254368,0.09129267912395439,0.16250096884063883
Large_Intestine,myeloid leukocyte,IL4R,354,5,24.0,0.5451977401129944,-0.02680036570189035,0.0017151715826719954,4.8829162362367886e-55,8.691590900501484e-54
Large_Intestine,myeloid leukocyte,IL2RA,354,5,24.0,0.3163841807909605,0.015884592614714813,0.0006689738386431715,1.245961912603429e-124,5.544530511085259e-123
Large_Intestine,myeloid leukocyte,CXCL8,354,5,24.0,0.788135593220339,0.0005686621737423687,0.014356497002473,0.9684039811313788,0.982743051668988
Large_Intestine,myeloid leukocyte,IL1B,354,5,24.0,0.5621468926553672,-0.02139524483805441,0.010474451645105803,0.041090822395614554,0.0870734093621356
Large_Intestine,regulatory T cell,GATA3,633,4,24.0,0.22748815165876776,-0.0005063240738971179,0.0024307022479882023,0.8349919064152408,0.9111278398432628
Large_Intestine,regulatory T cell,STAT6,633,4,24.0,0.19273301737756715,0.00442128055668453,0.0009303181379690627,2.0097703429703385e-06,8.130434569289096e-06
