drug,pt,a,b,c,d,n_drug_reports,n_pt_reports,ror,ror_lower,ror_upper,signal_ror_gt2
methotrexate,urticaria,1782,98644,33835,1019756,100426,35617,0.544603648239596,0.5190400297153033,0.5714263191580055,False
methotrexate,angioedema,138,100288,4535,1049056,100426,4673,0.31942753160659226,0.26970742574943934,0.37831345453228626,False
methotrexate,pruritus,4377,96049,45999,1007592,100426,50376,0.9983041153951112,0.9671540389664762,1.030457472813553,False
methotrexate,rash,5732,94694,63267,990324,100426,68999,0.9475805934471808,0.9215597167954035,0.9743361875669498,False
methotrexate,eczema,326,100100,2835,1050756,100426,3161,1.2087023666237473,1.0776878374595937,1.35564433437955,False
methotrexate,allergic_rhinitis,275,100151,2491,1051100,100426,2766,1.1605062831115296,1.0245412771434657,1.3145149572658457,False
methotrexate,asthma,741,99685,14758,1038833,100426,15499,0.5235798090567896,0.4862095034458301,0.5638224150476451,False
methotrexate,bronchospasm,67,100359,1926,1051665,100426,1993,0.3671587626650373,0.2880116726718994,0.4680558803437476,False
methotrexate,wheezing,507,99919,8504,1045087,100426,9011,0.6241509879030726,0.5705468913583464,0.682791303573514,False
azathioprine,hypersensitivity,811,11147,24100,1117959,11958,24911,3.376844491165771,3.141009280145609,3.630386828079667,True
azathioprine,anaphylaxis,134,11824,9562,1132497,11958,9696,1.3471169558496718,1.135209693900682,1.5985805111495592,False
