tissue,cell_type,score,n_cells,n_donors,age_range,slope_per_year,se,p,q
Large_Intestine,mast cell,aging_sasp_score,393,4,23.0,-0.000688755450165215,0.00017830583739481462,0.00011210594713785386,0.0003363178414135616
Large_Intestine,mast cell,th2_score,393,4,23.0,0.025957557119856495,0.013559173099177625,0.055570231885120336,0.0872025177274196
Large_Intestine,mast cell,alarmin_score,393,4,23.0,0.007685924526442502,0.0023309713211253167,0.000976172637549724,0.0025530668982069707
Large_Intestine,mast cell,treg_score,393,4,23.0,0.0065834921464345605,0.0003309036574791378,4.45188343096598e-88,5.045467888428111e-87
Large_Intestine,mast cell,targets_score,393,4,23.0,-0.006680830726648704,0.005853383430854305,0.2537192182730428,0.32349200329812955
Large_Intestine,mast cell,t2_receptor_score,393,4,23.0,0.006633481401824478,0.004410139916994977,0.1325445320622881,0.19041608831483645
Large_Intestine,myeloid leukocyte,aging_sasp_score,354,5,24.0,-0.008603089967044331,0.005491314239282493,0.11719130619027088,0.17323932219431348
Large_Intestine,myeloid leukocyte,th2_score,354,5,24.0,-0.00679451438634776,0.00026226485370879697,5.5434570347320565e-148,9.423876959044497e-147
Large_Intestine,myeloid leukocyte,alarmin_score,354,5,24.0,0.0010368085310006258,0.00016561035109143,3.836718510854373e-10,1.8635489909864097e-09
Large_Intestine,myeloid leukocyte,treg_score,354,5,24.0,0.011769768818662126,0.0003948365849615133,2.9674406434599622e-195,7.566973640822904e-194
Large_Intestine,myeloid leukocyte,targets_score,354,5,24.0,0.009443022234489765,0.0013667228865700712,4.872424480910071e-12,2.4849364852641362e-11
Large_Intestine,myeloid leukocyte,t2_receptor_score,354,5,24.0,-0.006779906631182906,0.0004255432258919098,3.778413679045529e-57,3.8539819526264392e-56
Large_Intestine,regulatory T cell,aging_sasp_score,633,4,24.0,-0.0036124838348693487,0.00048141999106041306,6.198944054275848e-14,3.5127349640896473e-13
Large_Intestine,regulatory T cell,th2_score,633,4,24.0,-0.008649637869116347,0.0005495465565703687,8.096568575194205e-56,7.50772722427099e-55
Large_Intestine,regulatory T cell,alarmin_score,633,4,24.0,0.00027071867619463266,0.002632518662189997,0.9180928352636286,0.9271828633355458
Large_Intestine,regulatory T cell,treg_score,633,4,24.0,-0.02750607085973794,0.014199246719842379,0.052727009499036234,0.08579064209922067
