prism_name,target_gene,chembl_id,chembl_name,matrix_row_id,prism_id,name,dose,mean_lfc,median_lfc,std_lfc,n_cell_lines,target_median_gene_effect,abs_essentiality,senolytic_proxy
PF-05180999,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00003097-001-01-9,BRD-K00003097-001-01-9,PF-05180999,2.5,0.025304671518983714,0.0581794056285661,0.4695930904229521,895,0.006465410950045,0.006465410950045,-0.025142117397852323
PF-03882845,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K51041191-001-02-9,BRD-K51041191-001-02-9,PF-03882845,2.5,0.027486199971062643,0.0367570995043701,0.4060984169850226,895,0.006465410950045,0.006465410950045,-0.02730963197743404
PF-06651600,JAK3,CHEMBL4085457,PF-06651600,BRD:BRD-K47084954-001-02-9,BRD-K47084954-001-02-9,PF-06651600,2.5,0.03527195939118648,0.0369926412260222,0.47651319170903383,890,-0.11882528663470629,0.11882528663470629,-0.03152588684984082
PF-06651600,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K47084954-001-02-9,BRD-K47084954-001-02-9,PF-06651600,2.5,0.03527195939118648,0.0369926412260222,0.47651319170903383,890,0.006465410950045,0.006465410950045,-0.03504537662937844
PF-750,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K83213911-001-08-9,BRD-K83213911-001-08-9,PF-750,2.5,0.036460057171421596,0.0530623087842973,0.4759496542579215,893,0.006465410950045,0.006465410950045,-0.0362258422144934
PD-118057,SRC,CHEMBL3545196,PD-0166285,BRD:BRD-K34657753-001-01-9,BRD-K34657753-001-01-9,PD-118057,2.5,0.044091142793053935,0.0718758495891249,0.4797468343732011,893,-0.14711551734479106,0.14711551734479106,-0.03843653243843389
PF-04995274,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00004635-001-01-9,BRD-K00004635-001-01-9,PF-04995274,2.5,0.09629988516667969,0.08809396532531825,0.443589058365787,890,-1.1977861924570643,1.1977861924570643,-0.04381676684346582
PF-514273,MTOR,CHEMBL1234354,PF-04691502,BRD:BRD-K00004642-001-01-9,BRD-K00004642-001-01-9,PF-514273,2.5,0.10930070988204049,0.155170749434648,0.4760121882995367,890,-1.1977861924570643,1.1977861924570643,-0.049732185167586894
PF-06282999,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00003279-001-01-9,BRD-K00003279-001-01-9,PF-06282999,2.5,0.05318760671559724,0.0758364856667254,0.4366179428167398,895,0.006465410950045,0.006465410950045,-0.05284593602217409
PF-04995274,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00004635-001-01-9,BRD-K00004635-001-01-9,PF-04995274,2.5,0.09629988516667969,0.08809396532531825,0.443589058365787,890,0.006465410950045,0.006465410950045,-0.09568126645880276
dextrorotation-nimorazole-phosphate-ester,JAK1,CHEMBL1795071,RUXOLITINIB PHOSPHATE,BRD:BRD-K00003272-001-01-9,BRD-K00003272-001-01-9,dextrorotation-nimorazole-phosphate-ester,2.5,0.10108779346364927,0.12787373464529,0.4490994473325053,890,-0.0474361734625947,0.0474361734625947,-0.09650974066465086
PF-514273,IL6,CHEMBL2109613,PF-04236921,BRD:BRD-K00004642-001-01-9,BRD-K00004642-001-01-9,PF-514273,2.5,0.10930070988204049,0.155170749434648,0.4760121882995367,890,0.006465410950045,0.006465410950045,-0.10859857546308219
"3,4-DCPG-(R)",JAK3,CHEMBL3545382,R-348,BRD:BRD-K06204668-001-03-9,BRD-K06204668-001-03-9,"3,4-DCPG-(R)",2.5,0.12213635708235664,0.150264823622194,0.5049172543033456,893,-0.11882528663470629,0.11882528663470629,-0.10916481647436509
JNJ-47965567,SRC,CHEMBL3545133,JNJ-26483327,BRD:BRD-K83547600-001-02-9,BRD-K83547600-001-02-9,JNJ-47965567,2.5,0.1375536785620729,0.130192976579902,0.7299933870676358,895,-0.14711551734479106,0.14711551734479106,-0.11991266483820746
