trait,tissue,study_id,is_age,is_allergy,is_blood
Forced expiratory volume in one second,Whole blood,25617346_lung_function_fev1,False,False,True
Walking speed,Whole blood,25617346_walking_speed,False,False,True
Fetal brain development,Fetal brain,25650246_Battram-T_fetal_brain_development_ewas_catalog_re-analysis_of_geo_data__geo_accession_id_is_gse58885,False,False,False
Gestational age,Fetal brain,25650246_gestational_age,False,False,False
Interaction between gestational age and sex,Fetal brain,25650246_interaction_between_gestational_age_and_sex,False,False,False
Sex,Fetal brain,25650246_sex,False,False,False
Smoking,Whole blood,25663950_smoking,False,False,True
Prenatal exposure to aflatoxin B1,White blood cells,25855716_prenatal_exposure_to_aflatoxin_b1,False,False,True
Gestational weight gain in early pregnancy,Whole blood,25855720_gestational_weight_gain_in_early_pregnancy_childhood,False,False,True
Maternal obesity,Whole blood,25855720_maternal_obesity_adolescence,False,False,True
Maternal obesity,Cord blood,25855720_maternal_obesity_birth,False,False,True
Maternal obesity,Whole blood,25855720_maternal_obesity_childhood,False,False,True
Maternal underweight,Whole blood,25855720_maternal_underweight_adolescence,False,False,True
Maternal underweight,Cord blood,25855720_maternal_underweight_birth,False,False,True
Maternal underweight,Whole blood,25855720_maternal_underweight_childhood,False,False,True
Pre-pregnancy body mass index,Cord blood,25855720_prepregnancy_body_mass_index_birth,False,False,True
